Field Name	Description	Data Type	Length	Codes	Short Description				
V_STARCHY_TOTAL	Total starchy vegetables (white potatoes + other starchy vegetables) (cup eq.)	Numeric 	12.6		Total starchy vegetables (cup eq.)				  
V_STARCHY_POTATO	White potatoes (cup eq.)	Numeric 	12.6		White potatoes (cup eq.)				  
V_STARCHY_OTHER	"Other starchy vegetables, excluding white potatoes (cup eq.)"	Numeric 	12.6		"Other starchy vegetables, excluding white potatoes (cup eq.)"				  
V_OTHER	Other vegetables not in the vegetable components listed above (cup eq.)	Numeric 	12.6		Other vegetables not listed (cup eq.)				  
V_LEGUMES	Beans and peas (legumes) computed as vegetables (cup eq.)	Numeric 	12.6		Beans and peas (legumes) (cup eq.)				  
G_TOTAL	Total whole and refined grains (oz. eq.)	Numeric 	12.6		Total whole and refined grains (oz. eq.)				  
G_WHOLE	"Grains defined as whole grains and contain the entire grain kernel ? the bran, germ, and endosperm (oz. eq.)"	Numeric 	12.6		Whole grains (oz. eq.)				  
G_REFINED	Refined grains that do not contain all of the components of the entire grain kernel (oz. eq.)	Numeric 	12.6		Refined grains (oz. eq.)				  
PF_TOTAL	"Total meat, poultry, organ meat, cured meat, seafood, eggs, soy, and nuts and seeds; excludes legumes (oz. eq.)"	Numeric 	12.6		"Total meat, eggs, soy, and nuts; excludes legumes (oz. eq.)"				  
PF_MPS_TOTAL	"Total of meat, poultry, seafood, organ meat, and cured meat (oz. eq.)"	Numeric 	12.6		Total of meat and cured meat (oz. eq.)				  
PF_MEAT	"Beef, veal, pork, lamb, and game meat; excludes organ meat and cured meat (oz. eq.)"	Numeric 	12.6		"Beef, veal, pork, lamb, and game meat; excludes organ meat and cured meat (oz. eq.)"				  
PF_CUREDMEAT	"Frankfurters, sausages, corned beef, and luncheon meat that are made from beef, pork, or poultry (oz. eq.)"	Numeric 	12.6		Cured meat (oz. eq.)				  
PF_ORGAN	"Organ meat from beef, veal, pork, lamb, game, and poultry (oz. eq.)"	Numeric 	12.6		Organ meat (oz. eq.)				  
PF_POULT	"Chicken, turkey, Cornish hens, duck, goose, quail, and pheasant (game birds); excludes organ meat and cured meat (oz. eq.)"	Numeric 	12.6		Poultry meat; excludes organ meat and cured meat (oz. eq.)				  
PF_SEAFD_HI	"Seafood (finfish, shellfish, and other seafood) high in n-3 fatty acids (oz. eq.)"	Numeric 	12.6		Seafood high in n-3 fatty acids (oz. eq.)				  
PF_SEAFD_LOW	"Seafood (finfish, shellfish, and other seafood) low in n-3 fatty acids (oz. eq.)"	Numeric 	12.6		Seafood low in n-3 fatty acids (oz. eq.)				  
PF_EGGS	"Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.)"	Numeric 	12.6		Eggs and egg substitutes (oz. eq.)				  
PF_SOY	"Soy products, excluding calcium fortified soy milk and immature soybeans (oz. eq.)"	Numeric 	12.6		Soy products (oz. eq.)				  
PF_NUTSDS	"Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)"	Numeric 	12.6		"Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)"				  
PF_LEGUMES	Beans and Peas (legumes) computed as protein foods (oz. eq.)	Numeric 	12.6		Beans and Peas (legumes) computed as protein foods (oz. eq.)				  
D_TOTAL	"Total milk, yogurt, cheese, whey. For some foods, the total dairy values could be higher than sum of D_MILK, D_YOGURT, and D_CHEESE because Misc dairy component composed of whey which is not included in FPED as separate variable. (cup eq.)"	Numeric 	12.6		"Total milk, yogurt, cheese, whey (cup eq.)"				  
D_MILK	"Fluid milk, buttermilk, evaporated milk, dry milk, and calcium fortified soy milk (cup eq.)"	Numeric 	12.6		Milk and milk products (cup eq.)				  
D_YOGURT	Yogurt (cup eq.)	Numeric 	12.6		Yogurt (cup eq.)				  
D_CHEESE	Cheeses (cup eq.)	Numeric 	12.6		Cheeses (cup eq.)				  
OILS	"Fats naturally present in nuts, seeds, seafood; unhydrogenated vegetable oils, except palm oil, palm kernel oil,  coconut oils; fat in avocado and olives above allowable amount; 50% of fat present in stick/tub margarines, margarine spreads (grams)"	Numeric 	12.6		Oils (grams)				
SOLID_FATS	"Fats naturally present in meat, poultry, eggs, dairy (lard, tallow, butter); hydrogenated/partially hydrogenated oils; shortening, palm, palm kernel, coconut oils; coconut meat, cocoa butter; 50% of fat in stick/tub margarines, margarine spreads (grams)"	Numeric 	12.6		Solid fats (grams)				
ADD_SUGARS	Foods defined as added sugars (tsp. eq.)	Numeric 	12.6		Added sugars (tsp. eq.)				
A_DRINKS	Alcoholic beverages and alcohol (ethanol) added to foods after cooking (no. of drinks)	Numeric 	12.6		Alcoholic beverages and alcohol (no. of drinks)				
FOODCOMP 	"This is an indicator which shows, per food, if the portion and/or nutrient data is complete or missing "	Numeric 	1	1=Data Complete; 2=Data Missing 	"This is an indicator which shows, per food, if the portion and/or nutrient data is complete or missing "				
FOOD_DESCRIPTION 	"Description of Food, from either the FNDDS FoodCode Description or, where applicable, the ModCode description "	Character 	255	Text 	"Description of Food, from either the FNDDS FoodCode Description or, where applicable, the ModCode description "				
